1946,4.128364786834406
1947,3.8504162125877337
1948,3.590458070598389
1949,3.666330182225035
1950,3.667697919891021
1951,3.7123932060716376
1952,3.721914445133633
1953,3.635062972055215
1954,3.5818033042748323
1955,3.596415485576205
1956,3.6090507368161324
1957,3.525222103438482
1958,3.287510458812604
1959,3.3257754940508124
1960,3.311562634457103
1961,3.3323183070113056
1962,3.383500636068399
1963,3.460449513673927
1964,3.4583285823122494
1965,3.509670282449138
1966,3.471810741477886
1967,3.6544057326672053
1968,3.6661961064915514
1969,3.6660270224998364
1970,3.763681293966404
1971,4.065092516328618
1972,4.066337753579554
1973,4.636142523003579
1974,4.257257947013197
1975,3.9920893226558665
1976,3.9365973804435206
1977,3.521991537267713
1978,3.6888079769472935
1979,3.791588901461918
1980,3.804004813905182
1981,3.9517992804660778
1982,3.8565750580619618
1983,3.8410896532391243
1984,3.8219672695976055
1985,3.8046285434127465
1986,3.860809328017019
1987,3.8249872376136325
1988,3.7804404904282345
1989,3.7569320691237538
1990,3.828363128762113
1991,4.415842785527165
1992,4.781668066112526
1993,4.373662552476961
1994,4.645064309196871
1995,4.668984860157303
1996,4.381361055157396
1997,4.352777982790796
1998,4.2269588920552605
1999,4.334849145189897
2000,4.339486566385111
2001,4.346596533993097
2002,4.340021327175692
2003,4.119563942129948
2004,4.063630483890258
2005,4.16330677741793
2006,4.15947933163182
2007,4.1836374712675495
2008,4.079652900995838
2009,4.072073474582234
2010,4.114824400323824
2011,4.2136675561019175
2012,4.190570266668369
2013,4.199211756399719
2014,4.2576240432673975
2015,4.314510082890863
2016,4.342441656801317
2017,4.4063540291191385
2018,4.641606372797783
2019,4.803368433894594
