1946,9.0
1947,8.0
1948,7.1
1949,7.0
1950,7.076923076923077
1951,6.384615384615385
1952,6.384615384615385
1953,6.461538461538462
1954,6.615384615384615
1955,6.538461538461538
1956,6.615384615384615
1957,6.0
1958,6.0
1959,6.0
1960,6.0
1961,5.923076923076923
1962,6.384615384615385
1963,6.461538461538462
1964,6.538461538461538
1965,6.384615384615385
1966,6.230769230769231
1967,6.230769230769231
1968,6.153846153846154
1969,6.076923076923077
1970,6.076923076923077
1971,6.384615384615385
1972,6.3076923076923075
1973,7.076923076923077
1974,7.857142857142857
1975,7.8
1976,7.625
1977,8.058823529411764
1978,8.058823529411764
1979,7.529411764705882
1980,7.588235294117647
1981,7.352941176470588
1982,7.529411764705882
1983,7.705882352941177
1984,7.764705882352941
1985,7.823529411764706
1986,7.882352941176471
1987,7.647058823529412
1988,7.588235294117647
1989,8.055555555555555
1990,7.84
1991,8.26923076923077
1992,8.407407407407407
1993,8.0
1994,8.37037037037037
1995,8.25925925925926
1996,8.11111111111111
1997,8.25925925925926
1998,7.925925925925926
1999,7.925925925925926
2000,7.857142857142857
2001,7.964285714285714
2002,7.964285714285714
2003,7.964285714285714
2004,7.642857142857143
2005,7.714285714285714
2006,7.892857142857143
2007,7.892857142857143
2008,7.678571428571429
2009,7.642857142857143
2010,7.714285714285714
2011,7.678571428571429
2012,8.142857142857142
2013,8.285714285714286
2014,8.571428571428571
2015,8.857142857142858
2016,8.714285714285714
2017,8.714285714285714
2018,8.785714285714286
2019,8.428571428571429
